Data_Zone,Intermediate_Zone,Council_area,Total_population,Working_age_population_revised,Income_rate,Income_count,Employment_rate,Employment_count,CIF,ALCOHOL,DRUG,SMR,DEPRESS,LBWT,EMERG,Attendance,Attainment,Noquals,NEET,HESA,drive_petrol,drive_GP,drive_PO,drive_primary,drive_retail,drive_secondary,PT_GP,PT_Post,PT_retail,crime_count,crime_rate,overcrowded_count,nocentralheat_count,overcrowded_rate,nocentralheat_rate
S01008951,Clermiston and Drumbrae,City of Edinburgh,883,583,0.19,170,0.18,105,140,268,230,90,0.21,0.02,121,0.71,4.4,111,0.14,0.03,4.5,2.7,2.5,3.4,5,6.7,10.9,6.6,12.2,29,329,136,24,0.17,0.03
S01008952,Clermiston and Drumbrae,City of Edinburgh,902,578,0.23,210,0.19,110,120,340,487,141,0.24,0.02,118,0.61,4.9,132,0.24,0.04,3.9,3,2.1,3.4,4.6,5.9,11.3,6.8,12.8,39,433,145,18,0.18,0.02
S01008953,Clermiston and Drumbrae,City of Edinburgh,939,605,0.16,150,0.13,75,125,122,130,97,0.2,0.09,98,0.69,5.2,114,0.11,0.04,3.3,3.2,1.3,2.8,4,5.3,9.1,3.6,9.6,31,330,97,30,0.11,0.03
S01008954,Clermiston and Drumbrae,City of Edinburgh,838,526,0.15,130,0.16,85,130,109,134,106,0.18,0,117,0.77,5.3,112,0.11,0.06,4.1,1.9,2,2.3,4.4,5.9,7.2,6.2,10.7,22,263,86,12,0.1,0.01
S01008955,East Craigs North,City of Edinburgh,625,406,0.05,30,0.05,20,55,78,0,52,0.14,0,71,0.86,6.3,42,0.1,0.16,4.1,3,2,3.4,4.7,5.3,10.1,7.3,10.8,9,144,60,10,0.09,0.02
S01008956,East Craigs North,City of Edinburgh,847,605,0.06,45,0.06,35,65,63,0,69,0.14,0.09,56,0.89,5.4,45,0.04,0.09,4.2,2.6,3.9,6,5,4.8,8.4,11.3,12.3,10,118,99,34,0.11,0.04
S01008957,East Craigs North,City of Edinburgh,995,634,0.12,120,0.12,75,85,49,89,66,0.16,0.03,78,0.8,5.8,54,0.1,0.09,3.8,3.1,2.9,4.1,4.6,4.8,9.4,7.8,11.1,29,292,100,4,0.1,0
S01008958,East Craigs North,City of Edinburgh,855,535,0.15,130,0.13,65,140,108,32,94,0.17,0.03,97,0.86,5.1,70,0.02,0.07,3.5,3.6,2.9,2.5,4.2,4.8,10.6,8.7,12.1,14,164,95,10,0.13,0.01
S01008959,East Craigs North,City of Edinburgh,816,541,0.08,65,0.09,50,75,39,0,78,0.16,0,70,0.85,5.5,69,0.05,0.06,3,2.1,3.2,5.8,3.8,3.3,6,6.9,9.5,11,135,111,6,0.13,0.01
S01008960,East Craigs South,City of Edinburgh,1168,801,0.02,20,0.01,5,15,23,0,26,0.08,0.06,55,0.93,5.9,32,0.03,0.19,2.7,3.1,3.3,5.2,3.5,2.2,9,10,10.5,16,137,82,7,0.09,0.01
S01008961,East Craigs South,City of Edinburgh,699,459,0.03,20,0.04,20,35,27,41,47,0.13,0,49,0.86,5.7,48,0.02,0.13,3.3,3.5,3.6,5.5,4.2,3.7,11,11.1,12.4,13,186,91,15,0.13,0.02
S01008962,East Craigs South,City of Edinburgh,663,420,0.02,15,0.03,15,45,36,0,54,0.13,0.06,72,0.94,6.2,46,0,0.14,2.3,3.3,2.7,3.8,3.2,2.5,10.5,9.9,10.5,5,75,23,7,0.04,0.01
S01008963,East Craigs South,City of Edinburgh,834,495,0.02,15,0.03,15,40,45,40,57,0.14,0,75,0.91,6.3,42,0.02,0.15,1.8,3.5,3,4.2,2.9,3.6,12.2,8.1,8.8,11,132,17,10,0.02,0.01
S01008964,East Craigs South,City of Edinburgh,533,305,0.01,5,0.01,5,25,9,0,74,0.08,0,62,0.96,6,25,0,0.17,1.1,2.4,1.9,3.1,2.7,3.2,8.2,5.1,7.1,24,450,5,3,0.01,0.01
S01008965,East Craigs South,City of Edinburgh,746,410,0.02,15,0.04,15,45,6,0,64,0.14,0,66,0.94,5.8,26,0.03,0.19,2.1,2.9,2.1,3.1,2.8,3.5,7.9,6.4,8.7,21,282,20,8,0.03,0.01
S01008966,East Craigs South,City of Edinburgh,581,342,0.03,20,0.04,15,40,8,0,62,0.11,0,78,0.87,5.9,34,0.06,0.16,3.2,3.8,1.9,2.2,3.9,4.7,10.5,6.8,10.9,11,189,13,1,0.02,0
S01008967,Corstorphine North,City of Edinburgh,1083,610,0.03,30,0.03,20,40,50,134,56,0.12,0.04,50,0.94,6.2,38,0,0.17,1.9,2.6,1.5,2.8,2.6,4,7.2,5.3,8.1,38,351,21,3,0.02,0
S01008968,Corstorphine North,City of Edinburgh,1450,909,0.02,25,0.02,20,40,45,0,63,0.12,0,74,0.92,5.8,28,0.05,0.11,3.6,4.1,2.7,3,4.1,5.8,15.1,12.5,15.9,20,138,30,2,0.03,0
S01008969,Corstorphine North,City of Edinburgh,1102,635,0.04,50,0.06,40,60,53,60,66,0.16,0,76,0.91,6,52,0.02,0.19,4.8,3.3,2.7,1.9,4.5,6.8,13.4,9.6,14.9,12,109,73,10,0.07,0.01
S01008970,Corstorphine,City of Edinburgh,1034,647,0.02,20,0.02,15,30,17,0,72,0.11,0,51,0.94,6.7,24,0,0.24,2.4,2.6,1.5,2.3,2.6,4.8,8.7,5.2,9,31,300,38,11,0.04,0.01
S01008971,Corstorphine,City of Edinburgh,716,448,0.02,15,0.02,10,30,0,0,48,0.07,0.03,42,0.97,6.1,13,0.03,0.14,3.8,3.3,1.6,2.1,3.9,5.8,13,7.6,13.4,18,252,3,6,0,0.01
S01008972,Corstorphine,City of Edinburgh,812,483,0.01,5,0.01,5,35,36,0,97,0.12,0,51,0.95,6.6,9,0,0.26,3.6,2.8,1.3,2.4,3.6,5.9,9.7,5.2,10.4,25,308,13,4,0.02,0.01
S01008973,Corstorphine,City of Edinburgh,874,555,0.04,35,0.06,30,40,27,0,120,0.11,0.1,69,0.94,5.7,42,0.03,0.09,4.1,2.5,1.7,2.7,4.1,6.3,7.9,5.5,9.2,27,309,74,10,0.1,0.01
S01008974,Corstorphine,City of Edinburgh,839,492,0.04,30,0.04,20,45,19,0,75,0.14,0.06,77,0.9,5,34,0.02,0.06,1.9,1.5,1.1,1.6,1.4,4.8,4.2,3.5,4.1,13,155,71,18,0.09,0.02
S01008975,Corstorphine,City of Edinburgh,744,374,0.14,100,0.11,40,110,102,93,96,0.2,0,121,0.86,5.3,67,0.09,0.06,2.4,1.4,1.9,1.2,2.3,4.9,3.7,5.2,6.6,22,296,91,12,0.13,0.02
S01008976,Corstorphine,City of Edinburgh,538,307,0.01,5,0.02,5,30,9,0,59,0.09,0,48,0.97,6,25,0.04,0.27,2.8,1.8,1.8,1.5,2.9,4.1,6,6,9.2,13,242,32,5,0.06,0.01
S01008977,Carrick Knowe,City of Edinburgh,595,372,0.02,15,0.03,10,30,0,0,61,0.13,0,71,0.85,5.6,36,0.06,0.11,3.6,2.6,1.6,1.3,3.6,4.9,8.5,6.5,11.1,11,185,37,9,0.06,0.01
S01008978,Carrick Knowe,City of Edinburgh,605,406,0.05,30,0.03,15,40,16,0,76,0.13,0.05,58,0.83,5.3,72,0,0.08,4.9,3.4,2.4,1.6,5,6,13.1,9.7,15.4,5,83,92,12,0.16,0.02
S01008979,Carrick Knowe,City of Edinburgh,750,547,0.11,80,0.05,25,40,79,0,81,0.13,0,71,0.8,5.4,63,0.07,0.03,4.8,3.2,2,2,5.4,5.6,12.4,7.5,15.6,15,200,69,4,0.09,0.01
S01008980,Carrick Knowe,City of Edinburgh,852,576,0.13,110,0.05,30,75,89,87,65,0.16,0.03,106,0.78,5.6,79,0.04,0.06,3.9,2.3,1,1.6,4.5,4.8,9.1,4.2,12.4,23,270,121,10,0.15,0.01
S01008981,Corstorphine South,City of Edinburgh,726,393,0.02,15,0.03,15,45,32,0,67,0.12,0.1,77,0.94,6.4,53,0.08,0.1,3.4,2.4,1.6,1.7,3.6,4.4,7.4,6,10.6,8,110,27,8,0.04,0.01
S01008982,Corstorphine South,City of Edinburgh,804,520,0.15,115,0.07,35,65,41,0,74,0.16,0.06,82,0.8,5.4,78,0.01,0.05,3.7,2.2,0.9,1.9,4,3.8,7.7,3.3,11,22,274,116,13,0.15,0.02
S01008983,Corstorphine South,City of Edinburgh,635,477,0.11,70,0.1,50,80,62,96,63,0.16,0,78,0.8,5.2,83,0.12,0.02,3.5,3.2,3.4,3.5,3.7,3.2,12.9,11.6,12.1,23,362,96,29,0.15,0.04
S01008984,Corstorphine South,City of Edinburgh,535,363,0.11,60,0.06,20,55,107,99,134,0.15,0,104,0.77,5.1,82,0.07,0.1,3.6,2.7,1.9,2.7,3.7,3.2,11,6.6,13,0,0,52,13,0.1,0.03
S01008985,Corstorphine South,City of Edinburgh,714,485,0.07,45,0.06,30,40,21,36,65,0.12,0,88,0.87,6.3,69,0.03,0.06,2.9,2.4,2.5,2.6,3,3,9.6,8.4,9.6,39,546,76,22,0.11,0.03
S01008986,Corstorphine South,City of Edinburgh,804,473,0.04,30,0.05,25,50,24,0,50,0.12,0.05,67,0.94,5.5,59,0.05,0.07,2.5,2.1,2.6,2.6,2.7,3.5,8.8,8.7,9.5,9,112,62,9,0.08,0.01
S01008987,South Gyle,City of Edinburgh,804,482,0.02,15,0.04,15,40,60,0,57,0.15,0.04,64,0.94,5.5,44,0.03,0.09,2.3,2,2.9,1.5,2.5,3.3,8.9,7.9,8.4,12,149,73,2,0.09,0
S01008988,South Gyle,City of Edinburgh,989,620,0.08,80,0.06,35,90,78,26,152,0.19,0.03,94,0.84,5.5,66,0.06,0.06,2.4,2.5,2.9,2.2,2.7,4.5,8.9,8.3,8.5,31,314,119,23,0.13,0.02
S01008989,South Gyle,City of Edinburgh,635,509,0.03,20,0.03,15,50,35,0,71,0.15,0.09,81,0.85,5.7,55,0,0.07,3.6,4.4,4.5,4.6,4,3.1,15.4,12.4,12.1,6,95,126,18,0.19,0.03
S01008990,South Gyle,City of Edinburgh,750,573,0.02,20,0.03,20,40,13,0,64,0.14,0.04,52,0.88,6,54,0.06,0.04,3.3,4.6,4.7,4.9,3.9,3.4,16.8,13.2,12.6,18,240,150,28,0.2,0.04
S01008991,South Gyle,City of Edinburgh,924,676,0.06,55,0.02,15,35,47,0,60,0.14,0,58,0.85,5.9,50,0.05,0.12,2.5,5,5.1,5.3,3.3,3.7,17.6,15.3,10.3,8,87,65,16,0.07,0.02
S01008992,South Gyle,City of Edinburgh,548,340,0.12,65,0.09,30,70,50,105,46,0.17,0.04,82,0.84,5.3,67,0.07,0.07,1.9,3.7,3.3,3.8,2.6,3.5,11.8,9.1,8.9,86,1570,43,17,0.08,0.03
S01008993,"Ratho, Ingliston and Gogar",City of Edinburgh,1072,695,0.04,45,0.06,40,50,48,0,87,0.15,0.03,80,0.91,5.7,42,0.04,0.06,2.4,4.9,4.8,5.3,3,5.1,13.7,11.1,9.5,88,821,67,23,0.06,0.02
S01008994,"Ratho, Ingliston and Gogar",City of Edinburgh,781,469,0.1,80,0.1,45,80,108,39,98,0.15,0.06,101,0.85,4.3,139,0.09,0.03,5.3,1.5,1.5,1.1,8.5,9.8,4.3,3.2,20.1,19,243,112,13,0.14,0.02
S01008995,"Ratho, Ingliston and Gogar",City of Edinburgh,840,565,0.03,25,0.02,15,30,22,36,85,0.12,0.04,65,0.94,6,33,0.02,0.11,5.4,1.6,2.5,2.3,8.7,10.5,4.4,6.2,20.6,15,179,43,11,0.05,0.01
S01008996,"Ratho, Ingliston and Gogar",City of Edinburgh,791,514,0.09,70,0.07,40,85,47,0,110,0.15,0.03,127,0.84,5.2,136,0.03,0.09,3.1,5.3,6.6,2.3,6.8,8.8,10.8,12,13.8,28,354,36,13,0.06,0.02
S01008997,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,995,657,0.08,80,0.07,45,90,42,0,90,0.14,0.06,108,0.88,4.9,82,0.07,0.12,3.6,4.5,3.9,2,7.1,10,15.4,12,19.4,38,382,41,18,0.04,0.02
S01008998,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,636,419,0.23,145,0.16,70,160,91,225,110,0.2,0,134,0.67,4.7,117,0.1,0.04,4.7,4.8,2.8,3.5,6.9,10.2,14.8,8,21.4,25,393,121,42,0.19,0.07
S01008999,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,825,483,0.12,100,0.08,40,85,160,0,117,0.18,0.08,111,0.87,5.4,95,0.01,0.03,5.6,2.4,1.8,2.2,6.5,9.8,6.3,5.3,18,19,230,78,10,0.09,0.01
S01009000,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,1338,816,0.03,35,0.02,20,40,31,23,82,0.11,0.03,69,0.9,5.6,48,0.01,0.13,4.6,4.3,2.3,3.2,5.4,8.7,13.3,8.3,20.1,27,202,42,8,0.05,0.01
S01009001,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,936,537,0.03,35,0.05,25,65,16,0,87,0.13,0.11,93,0.96,5.7,52,0.04,0.17,5.6,3.8,2.1,1.7,6.4,9.6,11.2,6.4,17.9,3,32,15,8,0.02,0.01
S01009002,"Dalmeny, Kirkliston and Newbridge",City of Edinburgh,1401,903,0.05,75,0.03,25,35,26,20,88,0.11,0.03,86,0.9,5.5,36,0.07,0.13,3.8,4.5,3.7,2.6,4.6,5.7,16.2,13,17.8,48,343,47,8,0.06,0.01
S01009003,Queensferry East,City of Edinburgh,971,616,0.05,50,0.02,15,40,29,62,68,0.12,0,71,0.93,5.7,35,0.01,0.17,3.4,2.5,2.4,1.6,2.4,3.2,8.7,8.4,7.8,12,124,25,14,0.03,0.01
S01009004,Queensferry East,City of Edinburgh,681,420,0.07,45,0.05,20,65,36,43,107,0.16,0.06,66,0.86,5.5,71,0.13,0.08,2.4,3,2.9,2.9,2.9,5.7,6.8,6.8,8,6,88,44,3,0.06,0
S01009005,Queensferry East,City of Edinburgh,700,420,0.06,40,0.04,20,55,35,0,65,0.13,0.03,80,0.95,6,61,0.02,0.08,2,2.8,2.7,2.8,2.6,5.7,6.2,6.2,7.5,11,157,56,11,0.08,0.02
S01009006,Queensferry East,City of Edinburgh,722,418,0.09,70,0.08,35,90,21,0,78,0.17,0,93,0.91,5.5,74,0.06,0.08,1.9,2.2,2.1,2.3,2,4.8,6.1,6.1,7.3,6,83,75,4,0.1,0.01
S01009007,Queensferry East,City of Edinburgh,720,451,0.08,60,0.09,40,95,95,155,124,0.18,0,92,0.89,5.3,85,0.1,0.03,2.3,2.3,2.2,1.5,2.1,3.5,8.1,8,8,15,208,76,13,0.11,0.02
S01009008,Queensferry East,City of Edinburgh,917,533,0.04,40,0.06,30,50,162,74,54,0.15,0.07,76,0.93,5.7,43,0.05,0.18,1.9,1.3,1.3,1.6,1.6,4.8,4.2,4.2,5.6,38,415,34,13,0.04,0.01
S01009009,Queensferry West,City of Edinburgh,448,266,0.22,100,0.19,50,140,80,178,135,0.23,0.04,135,0.84,5.4,118,0.05,0.04,2.1,2.1,2.1,1.6,2.5,5.8,5.7,5.7,7.7,7,156,73,9,0.15,0.02
S01009010,Queensferry West,City of Edinburgh,1020,702,0.05,45,0.04,30,40,28,0,110,0.13,0,72,0.91,5.9,38,0.01,0.1,2.4,2.6,2.6,1.1,3,6.3,6.9,6.9,8.9,14,137,59,12,0.06,0.01
S01009011,Queensferry West,City of Edinburgh,878,635,0.01,10,0.03,20,40,5,29,80,0.12,0,60,0.94,5.9,30,0.04,0.12,3.1,3.2,3.3,1.9,3.7,6.9,10.7,10.7,12.7,10,114,27,4,0.03,0
S01009012,Queensferry West,City of Edinburgh,751,504,0.02,15,0.02,10,35,144,0,67,0.13,0,69,0.92,5.8,28,0.03,0.18,3.3,3.4,3.5,1.6,3.8,7,8.7,8.8,10.8,8,107,28,11,0.04,0.01
S01009013,Queensferry West,City of Edinburgh,898,604,0.01,10,0.03,15,30,5,34,58,0.14,0.04,66,0.94,5.9,52,0.02,0.09,2.8,3.1,3.1,1.8,3.5,6.8,9.6,9.6,11.6,6,67,45,7,0.05,0.01
